                         District 06040828  Recovered  Quarantine  Critical  Total Deaths
                     Dithmarschen       37         11         332         0             1
                        Flensburg       28         10         138         0             1
              Herzogtum Lauenburg      155          0           0         0             2
                             Kiel      160         44         394         0             1
                           Lübeck      103          0           0         0             1
                       Neumünster       31          0          69         0             0
                    Nordfriesland       49          9         128         0             1
                      Ostholstein       51          0           0         0             0
                        Pinneberg      339          1           0         0             3
                             Plön       73          0           0         0             2
            Rendsburg-Eckernförde      166          0           0         0             4
              Schleswig-Flensburg       95         18         800         0             0
                         Segeberg      143         57           0         0             0
                        Steinburg       53          7           0         0             1
                         Stormarn      195         46         126         0             2
                          Hamburg     3019       1500           0        54            19
                        Ammerland      111         52         220         0             2
                           Aurich       72         38         159         0             3
                     Braunschweig      225         64           0         0             4
                            Celle      110         51         186         1             4
                      Cloppenburg       56         18         169         0             0
                         Cuxhaven       63         38           0         0             2
                      Delmenhorst       26          8          48         1             1
                         Diepholz      221         78         250         6             4
                            Emden       11          3          27         0             0
                          Emsland      200         69         700         0             3
                        Friesland       20          6           0         0             0
                          Gifhorn       96          0         192         0             0
                           Goslar       82         14         183         0             3
                        Göttingen      340         21        1738         0             7
              Grafschaft Bentheim      132         27         460         0             2
                   Hameln-Pyrmont       89         33         138         0             2
                          Harburg      275         75           0         0             1
                       Heidekreis       41         12           0         0             0
                        Helmstedt       82         24         164         0             0
                       Hildesheim      197        113         344         0             1
                       Holzminden       79         33           0         0             1
                             Leer       59         23         112         0             1
                Lüchow-Dannenberg       13          7          49         0             0
                         Lüneburg      120         60           0         0             0
                 Nienburg (Weser)       52         16         380         0             0
                         Northeim       53         18           0         0             0
                        Oldenburg      169         59         311         0             1
                 Oldenburg (Oldb)      143          2         584         0             0
                        Osnabrück      312        162         135        22             4
                        Osnabrück      472        163         395         0             8
                        Osterholz       57         29          76         0             0
                            Peine      110         30          90         0             2
                  Region Hannover     1110        270           0        50            11
                Rotenburg (Wümme)       72         25         154         0             1
                       Salzgitter       70         36         469         0             1
                       Schaumburg       81         30          48         0             0
                            Stade      152         91         119         0             2
                           Uelzen       29         11           8         0             0
                           Vechta      230         65         845         0             3
                           Verden       96         34           0         0             1
                      Wesermarsch       47         14           0         0             0
                    Wilhelmshaven       10          7          23         0             0
                         Wittmund       16          6          45         0             0
                     Wolfenbüttel       76          0           0         0             0
                        Wolfsburg      221          0           0         3            28
                           Bremen      368        123         138         3             8
                      Bremerhaven       25         12           0         0             0
                        Bielefeld      222         86        2566         8             1
                           Bochum      319        140         650        17            11
                             Bonn      395         92         768        18             3
                           Borken      664        246           0        12            12
                          Bottrop       60         21         143         0             1
                         Coesfeld      399        140           0        10             5
                         Dortmund      414        168           0        11             2
                         Duisburg      394        122        1090         0             2
                            Düren      347        152           0         0            12
                       Düsseldorf      595        241         332        38             5
                Ennepe-Ruhr-Kreis      260         96         484         2             1
                            Essen      512        204         668         0            11
                       Euskirchen      213         65         188         3             2
                    Gelsenkirchen      186         25           0         0             3
                        Gütersloh      481        234         217         6             4
                            Hagen      114         56           0         5             2
                             Hamm      251         81        1162         0             4
                        Heinsberg     1461        768           0         0            44
                          Herford      232         67           0         0             1
                            Herne       69         32           0         0             0
               Hochsauerlandkreis      396        127           0        10             2
                           Höxter      148         23           0         0             1
                            Kleve      304        114        1321         0             4
                             Köln     1768        730           0        68            31
                          Krefeld      264         89         979         8             1
                       Leverkusen      149         44         102         0             1
                            Lippe      468         98           0         0             5
                 Märkischer Kreis      175         31         684         0             3
                         Mettmann      585        221         297         0            13
                  Minden-Lübbecke      397        174           0         2             1
                  Mönchengladbach      294        120         501         0             5
              Mülheim an der Ruhr      105         47         206         0             2
                          Münster      559        270           0         0             3
             Oberbergischer Kreis      314        115         228         5             5
                       Oberhausen      108         31         139         2             0
                             Olpe      228         98         541        10             4
                        Paderborn      386         58         800         3             6
                   Recklinghausen      540        242           0         0             3
                        Remscheid       92         38         578         4             2
                 Rhein-Erft-Kreis      555        164         938        21            12
                Rhein-Kreis Neuss      475        263         748         0             6
                 Rhein-Sieg-Kreis      789        184        3000         0             8
       Rheinisch-Bergischer Kreis      281        148         580         0             3
              Siegen-Wittgenstein      182         40           0         3             4
                            Soest      235        103           0         2             1
                         Solingen      141         41         264         0             1
              Städteregion Aachen     1259        578           0         0            27
                        Steinfurt      664        221        1350         0             8
                             Unna      365        105           0         0             8
                          Viersen      403         88         264         0             9
                        Warendorf      343        205         500         0             2
                            Wesel      285        140           0         0             2
                        Wuppertal      328         41        1788         0             5
                       Bergstraße      228         55           0         0             1
                        Darmstadt       92         33           0         0             0
                Darmstadt-Dieburg      231        102           0         3             3
                Frankfurt am Main      578          0           0         0             5
                            Fulda      217         18           0         0             2
