                          District 26032101  Recovered  Quarantine  Critical  Total Deaths
                      Dithmarschen       19          0          11         0             0
                         Flensburg       21          0           0         0             0
               Herzogtum Lauenburg       56          0           0         0             1
                              Kiel       66          0         658         9             1
                            Lübeck       63          1           0         0             1
                        Neumünster       13          0          48         2             0
                     Nordfriesland       24          0         195         0             0
                       Ostholstein       22          0           0         0             0
                         Pinneberg      155          1           0        21             1
                              Plön       38          0           0         1             1
             Rendsburg-Eckernförde       73          0           0         0             0
               Schleswig-Flensburg       38          1           0         0             0
                          Segeberg       48          0           0         0             0
                         Steinburg       23          0           0         0             1
                          Stormarn       88          1          79         9             0
                           Hamburg     1614          0           0       103             2
                         Ammerland       50         13         111         0             0
                            Aurich       48         12         188         0             0
                      Braunschweig       80         11           0         3             0
                             Celle       61          9         203         1             0
                       Cloppenburg       24          0           0         1             0
                          Cuxhaven       46          3           0         1             0
                       Delmenhorst       16          3          61         0             0
                          Diepholz      111         27           0        18             0
                             Emden        9          2          57         1             0
                           Emsland      102          5         750         0             1
                         Friesland        8          1           0         0             0
                           Gifhorn       48          0         116         0             0
                            Goslar       40          4         227         3             0
                         Göttingen      115          0           0         0             0
               Grafschaft Bentheim       52          1         440         0             0
                    Hameln-Pyrmont       38          5         134         2             0
                           Harburg      126         15           0         0             1
                        Heidekreis       15          0           0         1             0
                         Helmstedt       39          3         164         0             0
                        Hildesheim      144         32         469         3             0
                        Holzminden       39         11           0         0             0
                              Leer       25          5         184         1             1
                 Lüchow-Dannenberg        7          0          40         0             0
                          Lüneburg       71          1           0         3             0
                  Nienburg (Weser)       22          0          92         0             0
                          Northeim       32          5           0         0             0
                         Oldenburg       45          5         251         0             0
                  Oldenburg (Oldb)       76          0         309         4             0
                         Osnabrück      197         52         357        26             0
                         Osnabrück      213         31         500         0             1
                         Osterholz       36          6         152         0             0
                             Peine       40          0         219         0             0
                   Region Hannover      588          0           0        90             4
                 Rotenburg (Wümme)       42          6          58         6             0
                        Salzgitter       41          0          45         0             0
                        Schaumburg       44          0          43         1             0
                             Stade       92         18         228         0             0
                            Uelzen       16          0           8         0             0
                            Vechta       94          0         414         3             1
                            Verden       43          6           0         0             0
                       Wesermarsch       26          0           0         2             0
                     Wilhelmshaven        6          3           0         0             0
                          Wittmund       10          1         113         0             0
                      Wolfenbüttel       26          0           0         0             0
                         Wolfsburg       51          0           0         4             2
                            Bremen      228         35         138        15             1
                       Bremerhaven       16          5           0         1             0
                         Bielefeld      132          0        1722         0             0
                            Bochum      180         13           0        12             3
                              Bonn      205          0           0         0             1
                            Borken      368         41           0         0             3
                           Bottrop       22          5         150         0             1
                          Coesfeld      232         24           0         0             1
                          Dortmund      223         52           0         1             0
                          Duisburg      200          0           0         0             0
                             Düren      190         47           0        22             1
                        Düsseldorf      319          6         347        46             2
                 Ennepe-Ruhr-Kreis      108         19        1574         0             1
                             Essen      288          8        1226         0             5
                        Euskirchen       92          7           0         0             0
                     Gelsenkirchen       64          4           0         0             0
                         Gütersloh      315         40           0         0             1
                             Hagen       55          9           0         0             2
                              Hamm      114          0         865        11             1
                         Heinsberg     1153        360          71         0            28
                           Herford      122          5           0         0             0
                             Herne       42          0           0         0             0
                Hochsauerlandkreis      173          2           0        11             0
                            Höxter       34          2           0         0             0
                             Kleve      179          0         770         9             1
                              Köln     1075          0           0        43             5
                           Krefeld      138          0           0         8             0
                        Leverkusen       74          0           0         0             0
                             Lippe      230         15           0         0             1
                  Märkischer Kreis       70          0         216         0             0
                          Mettmann      271          0         454         0             3
                   Minden-Lübbecke      223         37           0        10             0
                   Mönchengladbach      135         26         403         0             0
               Mülheim an der Ruhr       52         11         347         0             0
                           Münster      371         65           0         0             1
              Oberbergischer Kreis      163          0           0        13             0
                        Oberhausen       48          0         222         0             0
                              Olpe       85          3           0         0             0
                         Paderborn      148         17         800         6             0
                    Recklinghausen      264         49           0         0             0
                         Remscheid       41          7         256         0             0
                  Rhein-Erft-Kreis      267         12        2531        28             1
                 Rhein-Kreis Neuss      245         17         942         0             3
                  Rhein-Sieg-Kreis      460          6        1946         0             2
        Rheinisch-Bergischer Kreis      163         32           0         0             1
               Siegen-Wittgenstein       80         10           0         0             0
                             Soest      141          0           0         0             0
                          Solingen       71          0         473         6             0
